timestamp,symbol,mid_price,bid_price,ask_price,spread,obi_5,obi_10,weighted_depth_imbalance,microprice,book_pressure,spread_bps,book_slope_bid,book_slope_ask,liquidity_gap,trade_imbalance_1s,trade_imbalance_5s,trade_imbalance_30s,trade_intensity_1s,signed_volume_5s,burstiness,last_trade_direction_streak,large_trade_flag,ofi_cumulative,rv_1s,rv_5s,rv_1m,micro_bar_1s_close_ret,micro_bar_1s_volume,micro_bar_5s_close_ret,micro_bar_5s_volume,ret_1m,ret_5m,vol_1m,candle_body_1m,wick_ratio_upper_1m,volume_zscore_1m,range_expansion,trend_slope,momentum_5m,oi,oi_delta_1m,oi_delta_5m,oi_zscore,oi_divergence,oi_spike,price_oi_regime,funding_rate,funding_zscore,funding_extreme_flag,mark_last_basis,liquidation_volume_30s,liquidation_side_bias_30s,cancel_intensity,book_thinning,bid_wall_persistence,ask_wall_persistence,vol_regime_flag,trend_strength
1778816986565,SOLUSDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1778817050429,SOLUSDT,0.7071067811865476,0.7071067811865476,0.7071067811865476,0,-0.7071067811865476,-0.7071067811865475,-0.7071067811865475,0.7071067811867379,-0.7071067811865475,-0.7071067811867686,-0.7071067811865476,-0.7071067811865472,0,-0.7071067811865477,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865476,-0.7071067811865475,0,0,0,0.7071067811865474,-0.707106781186543,0,-0.7071067811865475,0,-0.7071067811865475,0.7071067811865476,0.7071067811865476,-0.707106781186543,-0.7071067811865472,0,0.7071067811865477,0.7071067811865493,0.7071067811865476,0.7071067811865476,0,0,0,0,0,0,0,0.7071067811865476,0.7071067811865478,0,-0.7071067811865475,0,0,0,0,0,0,0,-0.7071067811865476
timestamp,symbol,mid_price,bid_price,ask_price,spread,obi_5,obi_10,weighted_depth_imbalance,microprice,book_pressure,spread_bps,book_slope_bid,book_slope_ask,liquidity_gap,trade_imbalance_1s,trade_imbalance_5s,trade_imbalance_30s,trade_intensity_1s,signed_volume_5s,burstiness,last_trade_direction_streak,large_trade_flag,ofi_cumulative,rv_1s,rv_5s,rv_1m,micro_bar_1s_close_ret,micro_bar_1s_volume,micro_bar_5s_close_ret,micro_bar_5s_volume,ret_1m,ret_5m,vol_1m,candle_body_1m,wick_ratio_upper_1m,volume_zscore_1m,range_expansion,trend_slope,momentum_5m,oi,oi_delta_1m,oi_delta_5m,oi_zscore,oi_divergence,oi_spike,price_oi_regime,funding_rate,funding_zscore,funding_extreme_flag,mark_last_basis,liquidation_volume_30s,liquidation_side_bias_30s,cancel_intensity,book_thinning,bid_wall_persistence,ask_wall_persistence,vol_regime_flag,trend_strength
1778817698947,SOLUSDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1778817824362,SOLUSDT,-0.7071067811865476,-0.7071067811865476,-0.7071067811865476,0,0.7071067811865476,0.7071067811865476,-0.7071067811865475,-0.7071067811864865,-0.7071067811865475,0.7071067811866303,0.7071067811865469,-0.7071067811865446,0,-0.7071067811865476,0.7071067811865474,0.7071067811865476,0,0.7071067811865474,0.7071067811865476,-0.7071067811865475,0,0,0.7071067811865476,-0.7071067811865475,0.7071067811865481,-0.7071067811864971,-0.7071067811865475,-0.7071067811864971,-0.7071067811865476,0.7071067811865475,-0.7071067811865475,0.7071067811865481,-0.7071067811865475,0.7071067811865475,0.7071067811865475,-0.7071067811865474,-0.7071067811865475,-0.7071067811865475,0,0,0,0,0,0,0,0.7071067811865464,0.7071067811865475,0,0.707106781186497,0,0,0,0,0,0,0,-0.7071067811865475
1778818331264,SOLUSDT,0,0,0,0,1.1489160539900671,1.1502951959291388,1.0779771699109497,0.07332013004256997,1.0779771699109497,-0.00029025159975871605,0.9376608017470235,1.1389188733633027,0,-0.5585348954104155,-0.3181267999899638,-1.1317418121802807,1.1547005383792512,-0.3181267999899638,-0.8700194333611119,0.5773502691896256,0,0,0.26819161378701006,-1.139555634782074,-0.9081706912445048,1.154700210068033,-0.5595523936613933,1.154700210068033,0.35515883449977137,0.5776019976167773,0.8725459227701602,-0.9081706912445048,0.1524985703323428,-0.8251204038343937,-1.1546142335000134,-1.082265056251147,-1.0888570230243155,0.00014513261836547056,0,0,0,0,0,0,0,1.1310495197356172,1.128073604197311,0,-0.00029026739667892146,0,0,0,0,0,0,0,-0.4852141036658236
1778818458792,SOLUSDT,1.0147221378039493,1.0147221378039493,1.0147221378039493,0,0.7314778075342654,0.5240652666762192,0.21381962325385337,0.9951456391727358,0.21381962325385337,-1.0144692485078464,0.10439826203518689,0.509972431139475,0,1.424224343834254,1.2224675452587257,-1.4358991862987565,1.4527439954372794,1.2224675452587257,0.7054045867235859,1.4770978917519928,0,0,-0.8415474902486832,-0.7693434612734499,-0.08083502633709747,0.8660252396288061,1.4226347314483114,-0.4991291571694685,1.306530137497818,1.091876160345607,1.1661179759841624,-0.08083502633709747,-1.3067529849592883,0.6527299120072557,-0.5476674906345494,-1.0604686993572052,-0.6505883500126279,1.096537121347943,0,0,0,0,0,0,0,0.8047268492581766,0.8105239956828313,0,-1.0144692329501934,0,0,0,0,0,0,0,-1.0820346404849366
1778818714578,SOLUSDT,-0.9647638212377554,-0.9647638212377554,-0.9647638212377554,0,1.2570262675607076,0.16806510771702315,0.45629409409159294,-0.9370634314802136,0.45629409409159294,0.964894121037085,-0.6505874074470465,1.1047402957333325,0,-0.5496009297385916,-1.5257906164515393,0.9660678877158495,-0.12171612389003703,-1.5257906164515393,0.5905649792337502,-0.3350831266333563,0,0,0.4912243849821921,1.1465424232207833,0.3593521408090573,0.7302966279833961,-0.6343265752724998,-0.44830846417831155,-0.8253016306272866,-1.3699998549417043,-0.4247402682927055,0.3593521408090573,1.0694877440076347,-0.9000545409686054,-0.21457296090506134,0.8063266533813775,0.30484948057051026,-1.746335866678052,0,0,0,0,0,0,0,0.7064928656526019,0.667450662717571,0,0.9648941285385633,0,0,0,0,0,0,0,1.3375706016334452
1778818776450,SOLUSDT,-1.2148463525065973,-1.2148463525065973,-1.2148463525065973,0,-0.4379617328624708,0.40343606994863657,0.944685197093721,-1.1885061863004969,0.944685197093721,1.21533957450565,-0.6437054854420365,-0.6806119648977446,0,-0.7663994292055863,-0.9078699888958729,-1.3122811902010185,0.4428074427700475,-0.9078699888958729,1.7092865130590704,-1.1997474481714638,0,0,0.6463337360070379,1.5041548066160615,1.6232831298901949,0.645497132602108,-0.45143780475562945,1.793028497496251,0.1672720678008686,-0.2672487123998645,-0.7379178607178705,1.6232831298901949,0.5056736424112177,-0.1758857816831114,1.592486149692043,-0.028952809306572118,0.25000165195449386,-1.3386841440378456,0,0,0,0,0,0,0,0.1911418991807474,0.09912953002007217,0,-2.0412411507673234,0,0,0,0,0,0,0,0.07991514538908083
1778818840291,SOLUSDT,-1.4476017984146914,-1.4476017984146914,-1.4476017984146914,0,1.18200106415744,0.5173653161248443,0.26731277769643064,-1.453435164124512,0.26731277769643064,1.4484516197371318,-0.8782520406972525,0.7367383127754684,0,-0.49433521593641144,-0.40618786913593274,1.2804408242506569,-0.7807200583588265,-0.40618786913593274,1.2609233569698994,-0.40824829046386296,0,0,0.9211763938654338,-1.2398041298540345,0.7616042707702677,0.5855399660764876,-0.5436353502909554,0.54438540454988,-0.9271563310015821,-0.2500541908997911,0.6614106134559747,0.7616042707702677,0.1292813470284907,-0.2866910895403059,0.059391210196348826,0.3766108208446122,-0.002881186138925673,-1.153749618776798,0,0,0,0,0,0,0,0.17891384082113096,0.21786518455575152,0,0.37933309700671736,0,0,0,0,0,0,0,0.1536248491646843
